0,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265423,-0.187,0.041,0.001,0.000,0.01,0.02,3000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265425,-0.190,0.033,0.001,0.000,0.01,0.02,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265427,-0.193,0.026,0.001,0.000,0.01,0.02,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265429,-0.196,0.023,0.001,0.000,0.01,-0.01,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265431,-0.199,0.020,0.001,0.000,0.01,-0.01,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265434,-0.201,0.016,0.001,0.000,0.01,-0.01,3000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265436,-0.204,0.013,0.001,0.000,0.01,-0.01,2000,1558,6,2,28,1,0,0,90.01,90.00,90.00,89.99
DATA,265438,-0.200,0.012,0.001,0.000,-0.03,0.06,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265440,-0.197,0.011,0.001,0.000,-0.03,0.06,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265443,-0.194,0.010,0.001,0.000,-0.03,0.06,3000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265445,-0.190,0.009,0.001,0.000,-0.03,0.06,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265447,-0.186,0.007,0.001,0.000,-0.15,-0.04,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265449,-0.181,0.006,0.001,0.000,-0.15,-0.04,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265451,-0.177,0.004,0.001,0.000,-0.15,-0.04,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265454,-0.176,0.000,0.001,0.000,-0.07,-0.07,3000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265456,-0.176,-0.003,0.001,0.000,-0.07,-0.07,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265458,-0.176,-0.007,0.001,0.000,-0.07,-0.07,2000,1558,6,2,27,0,0,0,90.01,90.00,90.00,89.99
DATA,265460,-0.175,-0.011,0.001,0.000,-0.07,-0.07,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265462,-0.171,-0.020,0.001,0.000,-0.04,0.02,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265465,-0.166,-0.029,0.001,0.000,-0.04,0.02,3000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265467,-0.161,-0.037,0.001,0.000,-0.04,0.02,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265469,-0.162,-0.031,0.001,0.000,-0.02,0.05,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265471,-0.163,-0.025,0.001,0.000,-0.02,0.05,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265473,-0.163,-0.019,0.001,0.000,-0.02,0.05,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265476,-0.164,-0.013,0.001,0.000,-0.02,0.05,3000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265478,-0.166,-0.009,0.001,0.000,-0.04,0.08,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265480,-0.168,-0.004,0.001,0.000,-0.04,0.08,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265482,-0.171,0.000,0.001,0.000,-0.04,0.08,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265484,-0.173,0.004,0.001,0.000,-0.04,0.08,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265487,-0.178,0.001,0.001,0.000,-0.06,-0.15,3000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265489,-0.183,-0.002,0.001,0.000,-0.06,-0.15,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265491,-0.187,-0.005,0.001,0.000,-0.06,-0.15,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265493,-0.195,-0.024,0.001,0.000,0.04,0.02,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265495,-0.202,-0.041,0.001,0.000,0.04,0.02,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265498,-0.209,-0.058,0.001,0.000,0.04,0.02,3000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265500,-0.215,-0.075,0.001,0.000,0.04,0.02,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265502,-0.216,-0.084,0.001,0.000,0.01,0.02,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
DATA,265504,-0.218,-0.093,0.001,0.000,0.01,0.02,2000,1558,6,2,28,0,0,0,90.01,90.00,90.00,89.99
